                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.56597,                0.38567,                0.89931,                0.96626,                0.96934,                0.98014,                0.83225,                0.55868,                0.33824,                 0.8879,                0.00307,                0.00307,                0.00307
                     37,                0.54633,                0.37521,                0.88863,                0.97464,                0.96493,                 0.9813,                0.83652,                0.54372,                0.33069,                0.87902,               0.002872,               0.002872,               0.002872
                     38,                0.56347,                0.37569,                0.89703,                0.97154,                 0.9777,                0.98299,                0.83768,                0.53278,                0.31695,                0.88174,               0.002674,               0.002674,               0.002674
                     39,                0.53124,                 0.3586,                0.88422,                0.97344,                0.97452,                0.98167,                0.81897,                0.56087,                0.32452,                0.89258,               0.002476,               0.002476,               0.002476
                     40,                0.53216,                0.35982,                0.88344,                0.98304,                0.97279,                0.98492,                0.83174,                0.53782,                0.31209,                0.88346,               0.002278,               0.002278,               0.002278
                     41,                0.51939,                0.34845,                0.88853,                0.97527,                0.98074,                0.98398,                 0.8375,                0.51886,                0.30847,                0.88561,                0.00208,                0.00208,                0.00208
                     42,                0.52204,                0.34388,                0.88687,                0.98091,                0.97356,                0.98298,                0.83608,                0.52771,                0.30954,                0.88167,               0.001882,               0.001882,               0.001882
                     43,                0.51305,                0.34574,                0.88269,                0.98643,                0.97134,                0.98502,                0.84364,                0.52035,                0.30023,                0.88314,               0.001684,               0.001684,               0.001684
                     44,                 0.5194,                0.34082,                0.88574,                0.97526,                0.97397,                0.98544,                0.84449,                0.51788,                0.29836,                0.88143,               0.001486,               0.001486,               0.001486
                     45,                0.51078,                0.33652,                0.88057,                0.98164,                0.96072,                0.98459,                0.84648,                0.51315,                0.29264,                0.87553,               0.001288,               0.001288,               0.001288
                     46,                 0.4948,                0.32391,                0.87478,                0.98291,                0.96706,                0.98479,                0.85195,                0.51134,                0.29108,                0.87087,                0.00109,                0.00109,                0.00109
                     47,                0.48383,                0.32393,                0.87867,                0.97891,                0.97218,                 0.9855,                 0.8577,                0.50154,                 0.2818,                0.87187,               0.000892,               0.000892,               0.000892
                     48,                0.48475,                0.31462,                0.87038,                 0.9779,                0.96953,                0.98512,                0.86355,                0.49645,                0.27674,                0.87201,               0.000694,               0.000694,               0.000694
                     49,                0.47044,                0.31188,                0.87099,                0.98563,                0.97594,                0.98543,                0.86131,                 0.4945,                0.27661,                0.86886,               0.000496,               0.000496,               0.000496
